ts,price,volume,side
1763510047.393,3117.98,2.15,B
1763510047.393,3117.94,0.01,B
1763510047.393,3117.94,0.01,B
1763510047.393,3117.92,0.01,B
1763510047.393,3117.9,0.01,B
1763510047.393,3117.84,0.01,B
1763510047.393,3117.82,0.02,B
1763510047.393,3117.77,0.03,B
1763510047.393,3117.74,0.1,B
1763510047.393,3117.74,0.01,B
1763510047.393,3117.74,0.05,B
1763510047.393,3117.74,0.05,B
1763510047.393,3117.74,0.01,B
1763510047.393,3117.74,0.01,B
1763510047.393,3117.74,0.11,B
1763510044.78,3117.74,0.03,B
1763510042.678,3117.74,0.03,B
1763510042.678,3117.74,0.01,B
1763510042.678,3117.74,0.01,B
1763510042.678,3117.74,0.01,B
1763510042.678,3117.74,0.09,B
1763510041.501,3117.74,2.76,B
1763510041.501,3117.74,0.64,B
1763510041.501,3117.74,2.99,B
1763510041.501,3117.74,5.16,B
1763510039.452,3117.77,0.02,S
1763510039.452,3117.78,0.01,S
1763510039.448,3117.78,0.01,S
1763510039.448,3117.8,0.01,S
1763510039.448,3117.8,0.01,S
1763510039.448,3117.8,0.02,S
1763510039.448,3117.84,0.01,S
1763510039.448,3117.86,0.02,S
1763510039.448,3117.9,0.01,S
1763510039.442,3117.94,0.01,S
1763510039.442,3117.94,0.01,S
1763510039.442,3117.94,0.01,S
1763510039.437,3117.97,0.01,S
1763510039.437,3117.99,0.5,S
1763510039.437,3117.99,0.1,S
1763510039.437,3117.99,0.01,S
1763510039.437,3117.99,0.01,S
1763510039.437,3117.99,0.17,S
1763510037.211,3118.0,0.01,B
1763510036.291,3117.99,0.03,S
1763510036.291,3117.99,0.01,S
1763510036.291,3117.99,0.01,S
1763510036.291,3118.0,0.01,S
1763510036.291,3118.02,0.02,S
1763510036.291,3118.05,0.02,S
1763510036.291,3118.05,0.01,S
1763510036.291,3118.08,0.02,S
1763510036.291,3118.08,0.01,S
1763510036.291,3118.11,0.02,S
1763510036.291,3118.13,0.14,S
1763510036.291,3118.13,0.01,S
1763510036.291,3118.13,0.01,S
1763510035.546,3118.14,0.04,B
1763510035.19,3118.14,1.79,B
1763510035.19,3118.14,0.79,B
1763510035.19,3118.14,3.42,B
1763510034.143,3118.14,0.01,S
1763510034.139,3118.17,0.01,S
1763510034.139,3118.17,0.01,S
1763510034.139,3118.17,0.01,S
1763510034.139,3118.17,0.01,S
1763510034.126,3118.18,0.01,S
1763510034.126,3118.18,0.01,S
1763510034.126,3118.2,0.01,S
1763510034.122,3118.25,0.01,S
1763510034.02,3118.25,1.47,S
1763510034.02,3118.25,0.16,S
1763510034.02,3118.25,0.01,S
1763510034.02,3118.25,0.01,S
1763510034.02,3118.25,2.66,S
1763510033.098,3118.26,0.01,B
1763510033.098,3118.26,0.01,B
1763510032.866,3118.35,0.01,S
1763510032.866,3118.35,0.01,S
1763510032.86,3118.43,6.7,S
1763510032.86,3118.49,1.8,S
1763510032.86,3118.49,0.02,S
1763510032.86,3118.49,0.02,S
1763510032.86,3118.49,0.01,S
1763510032.86,3118.49,0.01,S
1763510032.501,3118.48,0.01,B
1763510032.501,3118.43,0.04,B
1763510032.501,3118.43,0.05,B
1763510032.501,3118.43,0.01,B
1763510032.501,3118.43,0.01,B
1763510032.497,3118.41,0.01,B
1763510032.497,3118.41,0.01,B
1763510032.487,3118.4,0.01,B
1763510032.487,3118.36,0.01,B
1763510032.487,3118.36,0.01,B
1763510032.475,3118.34,0.01,B
1763510032.475,3118.34,0.01,B
1763510032.457,3118.31,0.01,B
1763510032.457,3118.29,0.02,B
1763510032.457,3118.29,0.01,B
1763510032.457,3118.27,0.01,B
1763510032.457,3118.27,0.01,B
1763510032.449,3118.26,0.31,B
1763510032.449,3118.26,0.01,B
